coherence,hazard_rate,coherence_state,hazard_rate_state
0.43,0.2,random,easy
0.38,0.2,random,easy
0.49,0.19,random,easy
0.23,0.21,random,easy
0.3,0.19,random,easy
0.81,0.2,random,easy
0.28,0.2,random,easy
0.78,0.2,random,easy
0.36,0.19,random,easy
0.71,0.19,random,easy
0.27,0.2,random,easy
0.46,0.19,random,easy
0.61,0.21,random,easy
0.54,0.18,random,easy
0.83,0.19,random,easy
0.72,0.2,random,easy
0.4,0.19,random,easy
0.41,0.21,random,easy
0.44,0.2,random,easy
0.57,0.19,random,easy
0.2,0.18,random,easy
0.21,0.18,random,easy
0.39,0.2,random,easy
0.39,0.19,random,easy
0.4,0.19,random,easy
0.55,0.2,random,easy
0.72,0.23,random,easy
0.38,0.2,random,easy
0.49,0.21,random,easy
0.62,0.2,random,easy
0.5,0.21,random,easy
0.26,0.19,random,easy
0.25,0.2,random,easy
0.6,0.2,random,easy
0.45,0.2,random,easy
0.6,0.2,random,easy
0.44,0.19,random,easy
0.59,0.2,random,easy
0.57,0.19,random,easy
0.27,0.18,random,easy
0.67,0.19,random,easy
0.42,0.21,random,easy
0.77,0.22,random,easy
0.29,0.22,random,easy
0.33,0.26,random,slope_difficult
0.65,0.34,random,slope_difficult
0.28,0.44,random,slope_difficult
0.76,0.52,random,slope_difficult
0.61,0.62,random,slope_difficult
0.7,0.88,random,slope_difficult
0.55,1.02,random,slope_difficult
0.33,1.41,random,slope_difficult
0.66,1.89,random,slope_difficult
0.75,2.17,random,slope_difficult
0.55,3.01,random,difficult
0.68,3.21,random,difficult
0.76,3.06,random,difficult
0.45,3.09,random,difficult
0.62,3.15,random,difficult
0.38,3.3,random,difficult
0.67,3.02,random,difficult
0.25,3.21,random,difficult
0.56,2.99,random,difficult
0.74,2.91,random,difficult
0.43,3.05,random,difficult
0.23,2.9,random,difficult
0.54,2.91,random,difficult
0.23,2.9,random,difficult
0.5,2.65,random,difficult
0.53,3.02,random,difficult
0.42,2.8,random,difficult
0.22,2.98,random,difficult
0.21,3.25,random,difficult
0.51,2.92,random,difficult
0.35,2.91,random,difficult
0.51,3.23,random,difficult
0.49,3.09,random,difficult
0.33,3.16,random,difficult
0.56,2.94,random,difficult
0.37,3.12,random,difficult
0.36,2.89,random,difficult
0.24,2.89,random,difficult
0.74,3.1,random,difficult
0.35,2.9,random,difficult
0.23,3.13,random,difficult
0.23,3.41,random,difficult
0.8,2.74,random,difficult
0.27,2.88,random,difficult
0.2,3.19,random,difficult
0.22,2.98,random,difficult
0.7,3.19,random,difficult
0.23,2.84,random,difficult
0.28,3.05,random,difficult
0.32,2.98,random,difficult
0.51,3.02,random,difficult
0.67,3.05,random,difficult
0.32,1.63,random,slope_easy
0.26,0.96,random,slope_easy
0.65,0.64,random,slope_easy
0.49,0.35,random,slope_easy
0.53,0.2,random,easy
0.23,0.2,random,easy
0.78,0.2,random,easy
0.36,0.19,random,easy
0.44,0.19,random,easy
0.78,0.21,random,easy
0.37,0.2,random,easy
0.77,0.21,random,easy
0.36,0.19,random,easy
0.49,0.22,random,easy
0.24,0.2,random,easy
0.76,0.21,random,easy
0.29,0.21,random,easy
0.78,0.19,random,easy
0.57,0.18,random,easy
0.56,0.19,random,easy
0.21,0.22,random,easy
0.48,0.21,random,easy
0.63,0.2,random,easy
0.66,0.2,random,easy
0.27,0.21,random,easy
0.66,0.2,random,easy
0.71,0.19,random,easy
0.63,0.21,random,easy
0.48,0.21,random,easy
0.48,0.17,random,easy
0.31,0.2,random,easy
0.47,0.2,random,easy
0.62,0.21,random,easy
0.54,0.2,random,easy
0.31,0.19,random,easy
0.44,0.2,random,easy
0.21,0.2,random,easy
0.57,0.2,random,easy
0.47,0.2,random,easy
0.42,0.21,random,easy
0.3,0.19,random,easy
0.73,0.2,random,easy
0.56,0.18,random,easy
0.24,0.21,random,easy
0.79,0.21,random,easy
0.28,0.21,random,easy
0.56,0.21,random,easy
0.29,0.2,random,easy
0.79,0.2,random,easy
0.58,0.21,random,easy
0.74,0.2,random,easy
0.43,0.21,random,easy
0.62,0.29,random,slope_difficult
0.38,0.4,random,slope_difficult
0.24,0.67,random,slope_difficult
0.71,1.04,random,slope_difficult
0.27,1.31,random,slope_difficult
0.76,2.03,random,slope_difficult
0.55,2.89,random,difficult
0.53,2.94,random,difficult
0.49,3.01,random,difficult
0.22,2.8,random,difficult
0.33,2.96,random,difficult
0.61,2.77,random,difficult
0.64,2.91,random,difficult
0.28,2.81,random,difficult
0.27,2.83,random,difficult
0.48,2.73,random,difficult
0.59,3.2,random,difficult
0.21,3.08,random,difficult
0.62,2.7,random,difficult
0.7,2.9,random,difficult
0.26,2.89,random,difficult
0.31,2.89,random,difficult
0.39,2.77,random,difficult
0.24,3.13,random,difficult
0.27,2.94,random,difficult
0.36,3.08,random,difficult
0.27,3.09,random,difficult
0.64,3.23,random,difficult
0.71,2.72,random,difficult
0.41,3.3,random,difficult
0.37,3.21,random,difficult
0.7,3.09,random,difficult
0.57,3.41,random,difficult
0.28,3.03,random,difficult
0.47,3.14,random,difficult
0.46,2.88,random,difficult
0.67,3.19,random,difficult
0.48,3.03,random,difficult
0.47,2.93,random,difficult
0.75,3.36,random,difficult
0.21,2.95,random,difficult
0.5,3.0,random,difficult
0.79,2.97,random,difficult
0.33,2.88,random,difficult
0.19,3.09,random,difficult
0.45,3.12,random,difficult
0.61,3.06,random,difficult
0.7,2.64,random,difficult
0.41,3.17,random,difficult
0.69,2.94,random,difficult
0.46,2.81,random,difficult
0.42,3.1,random,difficult
0.22,1.25,random,slope_easy
0.77,0.47,random,slope_easy
0.5,0.23,random,easy
0.35,0.19,random,easy
0.7,0.18,random,easy
0.55,0.19,random,easy
0.78,0.22,random,easy
0.37,0.2,random,easy
0.74,0.2,random,easy
0.58,0.2,random,easy
0.27,0.19,random,easy
0.5,0.19,random,easy
0.25,0.19,random,easy
0.36,0.21,random,easy
0.26,0.21,random,easy
0.71,0.19,random,easy
0.75,0.2,random,easy
0.76,0.21,random,easy
0.27,0.19,random,easy
0.41,0.19,random,easy
0.51,0.19,random,easy
0.71,0.19,random,easy
0.39,0.2,random,easy
0.62,0.19,random,easy
0.38,0.21,random,easy
0.51,0.2,random,easy
0.51,0.2,random,easy
0.3,0.2,random,easy
0.72,0.19,random,easy
0.47,0.2,random,easy
0.68,0.2,random,easy
0.31,0.19,random,easy
0.52,0.2,random,easy
0.22,0.21,random,easy
0.69,0.2,random,easy
0.21,0.22,random,easy
0.33,0.19,random,easy
0.49,0.21,random,easy
0.31,0.2,random,easy
0.44,0.2,random,easy
0.39,0.26,random,slope_difficult
0.24,0.39,random,slope_difficult
0.76,0.5,random,slope_difficult
0.3,0.71,random,slope_difficult
0.55,0.84,random,slope_difficult
0.59,1.18,random,slope_difficult
0.21,1.57,random,slope_difficult
0.35,2.16,random,slope_difficult
0.5,2.89,random,difficult
0.56,2.98,random,difficult
0.29,3.0,random,difficult
0.75,2.99,random,difficult
0.37,2.91,random,difficult
0.31,3.03,random,difficult
0.32,3.15,random,difficult
0.6,2.86,random,difficult
0.34,3.0,random,difficult
0.67,2.99,random,difficult
0.58,3.08,random,difficult
0.54,2.99,random,difficult
0.47,3.0,random,difficult
0.72,2.84,random,difficult
0.56,3.0,random,difficult
